schd_dep_date,ontime,delayed,potential,ttflights,otp,otp_max,cumflights,p_otp,p_otp_max
2021-10-01,15,-8,4,27,15,19,27,0.5555555555555556,0.7037037037037037
2021-10-02,13,-13,0,26,28,32,53,0.5283018867924528,0.6037735849056604
2021-10-03,16,-5,0,21,44,48,74,0.5945945945945946,0.6486486486486487
2021-10-04,19,-5,0,24,63,67,98,0.6428571428571429,0.6836734693877551
2021-10-05,24,-6,2,32,87,93,130,0.6692307692307692,0.7153846153846154
2021-10-06,9,-1,0,10,96,102,140,0.6857142857142857,0.7285714285714285
2021-10-07,48,-15,1,64,144,151,204,0.7058823529411765,0.7401960784313726
2021-10-08,15,-7,1,23,159,167,227,0.7004405286343612,0.73568281938326
2021-10-09,20,-8,0,28,179,187,255,0.7019607843137254,0.7333333333333333
2021-10-10,19,-5,1,25,198,207,280,0.7071428571428572,0.7392857142857143
2021-10-11,17,0,0,17,215,224,297,0.7239057239057239,0.7542087542087542
2021-10-12,1,-5,0,6,216,225,303,0.7128712871287128,0.7425742574257426
2021-10-13,23,-7,0,30,239,248,333,0.7177177177177178,0.7447447447447447
2021-10-14,5,-2,0,7,244,253,340,0.7176470588235294,0.7441176470588236
2021-10-15,8,-4,0,12,252,261,352,0.7159090909090909,0.7414772727272727
2021-10-16,1,-5,1,7,253,263,359,0.7047353760445683,0.7325905292479109
2021-10-17,12,-3,0,15,265,275,374,0.7085561497326203,0.7352941176470589
2021-10-18,9,0,0,9,274,284,383,0.7154046997389034,0.741514360313316
2021-10-19,16,-5,0,21,290,300,404,0.7178217821782178,0.7425742574257426
2021-10-20,36,-13,6,55,326,342,459,0.710239651416122,0.7450980392156863
2021-10-21,29,-9,2,40,355,373,499,0.7114228456913828,0.7474949899799599
2021-10-22,23,-3,1,27,378,397,526,0.7186311787072244,0.7547528517110266
2021-10-23,7,-3,1,11,385,405,537,0.7169459962756052,0.7541899441340782
2021-10-24,12,-6,1,19,397,418,556,0.7140287769784173,0.7517985611510791
2021-10-25,38,-10,1,49,435,457,605,0.71900826446281,0.7553719008264462
2021-10-26,13,-4,3,20,448,473,625,0.7168,0.7568
2021-10-27,28,-6,0,34,476,501,659,0.7223065250379362,0.7602427921092565
2021-10-28,11,-4,2,17,487,514,676,0.7204142011834319,0.7603550295857988
2021-10-29,13,-6,1,20,500,528,696,0.7183908045977011,0.7586206896551724
2021-10-30,18,-10,2,30,518,548,726,0.7134986225895317,0.7548209366391184
2021-10-31,11,-6,1,18,529,560,744,0.7110215053763441,0.7526881720430108
